Author,Title,Poem_Text,Source_URL
Phillis Wheatley,“On Being Brought from Africa to America”," ’Twas mercy brought me from my Pagan land,
  Taught my benighted soul to understand
  That there’s a God, that there’s a Saviour too:
  Once I redemption neither sought nor knew,
  Some view our sable race with scornful eye,
  “Their colour is a diabolic die.”
   Remember, Christians, Negroes, black as Cain,
  May be refin’d, and join th’ angelic train.",https://www.gutenberg.org/cache/epub/409/pg409-images.html#link2H_4_0022
Phillis Wheatley,“An Hymn to the Morning”,"  ATTEND my lays, ye ever honour’d nine,
  Assist my labours, and my strains refine;
  In smoothest numbers pour the notes along,
  For bright Aurora now demands my song.
    Aurora hail, and all the thousand dies,
  Which deck thy progress through the vaulted skies:
  The morn awakes, and wide extends her rays,
  On ev’ry leaf the gentle zephyr plays;
  Harmonious lays the feather’d race resume,
  Dart the bright eye, and shake the painted plume.
    Ye shady groves, your verdant gloom display
  To shield your poet from the burning day:
  Calliope awake the sacred lyre,
  While thy fair sisters fan the pleasing fire:
  The bow’rs, the gales, the variegated skies
  In all their pleasures in my bosom rise.
    See in the east th’ illustrious king of day!
  His rising radiance drives the shades away—
  But Oh! I feel his fervid beams too strong,
  And scarce begun, concludes th’ abortive song.",https://www.gutenberg.org/cache/epub/409/pg409-images.html#link2H_4_0022
Phillis Wheatley,“An Hymn to the Evening”,"  SOON as the sun forsook the eastern main
  The pealing thunder shook the heav’nly plain;
  Majestic grandeur!  From the zephyr’s wing,
  Exhales the incense of the blooming spring.
  Soft purl the streams, the birds renew their notes,
  And through the air their mingled music floats.
    Through all the heav’ns what beauteous dies are spread!
  But the west glories in the deepest red:
  So may our breasts with ev’ry virtue glow,
  The living temples of our God below!
    Fill’d with the praise of him who gives the light,
  And draws the sable curtains of the night,
  Let placid slumbers sooth each weary mind,
  At morn to wake more heav’nly, more refin’d;
  So shall the labours of the day begin
  More pure, more guarded from the snares of sin.
    Night’s leaden sceptre seals my drowsy eyes,
  Then cease, my song, till fair Aurora rise.",https://www.gutenberg.org/cache/epub/409/pg409-images.html#link2H_4_0022
Phillis Wheatley,“On Recollection”,"  MNEME begin.  Inspire, ye sacred nine,
  Your vent’rous Afric in her great design.
  Mneme, immortal pow’r, I trace thy spring:
  Assist my strains, while I thy glories sing:
  The acts of long departed years, by thee
  Recover’d, in due order rang’d we see:
  Thy pow’r the long-forgotten calls from night,
  That sweetly plays before the fancy’s sight.
  Mneme in our nocturnal visions pours
  The ample treasure of her secret stores;
  Swift from above the wings her silent flight
  Through Phoebe’s realms, fair regent of the night;
  And, in her pomp of images display’d,
  To the high-raptur’d poet gives her aid,
  Through the unbounded regions of the mind,
  Diffusing light celestial and refin’d.
  The heav’nly phantom paints the actions done
  By ev’ry tribe beneath the rolling sun.
    Mneme, enthron’d within the human breast,
  Has vice condemn’d, and ev’ry virtue blest.
  How sweet the sound when we her plaudit hear?
  Sweeter than music to the ravish’d ear,
  Sweeter than Maro’s entertaining strains
  Resounding through the groves, and hills, and plains.
  But how is Mneme dreaded by the race,
  Who scorn her warnings and despise her grace?
  By her unveil’d each horrid crime appears,
  Her awful hand a cup of wormwood bears.
  Days, years mispent, O what a hell of woe!
  Hers the worst tortures that our souls can know.
    Now eighteen years their destin’d course have run,
  In fast succession round the central sun.
  How did the follies of that period pass
  Unnotic’d, but behold them writ in brass!
  In Recollection see them fresh return,
  And sure ’tis mine to be asham’d, and mourn.
    O Virtue, smiling in immortal green,
  Do thou exert thy pow’r, and change the scene;
  Be thine employ to guide my future days,
  And mine to pay the tribute of my praise.
    Of Recollection such the pow’r enthron’d
  In ev’ry breast, and thus her pow’r is own’d.
  The wretch, who dar’d the vengeance of the skies,
  At last awakes in horror and surprise,
  By her alarm’d, he sees impending fate,
  He howls in anguish, and repents too late.
  But O! what peace, what joys are hers t’ impart
  To ev’ry holy, ev’ry upright heart!
  Thrice blest the man, who, in her sacred shrine,
  Feels himself shelter’d from the wrath divine!",https://www.gutenberg.org/cache/epub/409/pg409-images.html#link2H_4_0022
Phillis Wheatley,“On Imagination”,"  THY various works, imperial queen, we see,
    How bright their forms! how deck’d with pomp
      by thee!
  Thy wond’rous acts in beauteous order stand,
  And all attest how potent is thine hand.
    From Helicon’s refulgent heights attend,
  Ye sacred choir, and my attempts befriend:
  To tell her glories with a faithful tongue,
  Ye blooming graces, triumph in my song.
       Now here, now there, the roving Fancy flies,
  Till some lov’d object strikes her wand’ring eyes,
  Whose silken fetters all the senses bind,
  And soft captivity involves the mind.
    Imagination! who can sing thy force?
  Or who describe the swiftness of thy course?
  Soaring through air to find the bright abode,
  Th’ empyreal palace of the thund’ring God,
  We on thy pinions can surpass the wind,
  And leave the rolling universe behind:
  From star to star the mental optics rove,
  Measure the skies, and range the realms above.
  There in one view we grasp the mighty whole,
  Or with new worlds amaze th’ unbounded soul.
    Though Winter frowns to Fancy’s raptur’d eyes
  The fields may flourish, and gay scenes arise;
  The frozen deeps may break their iron bands,
  And bid their waters murmur o’er the sands.
  Fair Flora may resume her fragrant reign,
  And with her flow’ry riches deck the plain;
  Sylvanus may diffuse his honours round,
  And all the forest may with leaves be crown’d:
  Show’rs may descend, and dews their gems disclose,
  And nectar sparkle on the blooming rose.
    Such is thy pow’r, nor are thine orders vain,
  O thou the leader of the mental train:
  In full perfection all thy works are wrought,
  And thine the sceptre o’er the realms of thought.
  Before thy throne the subject-passions bow,
  Of subject-passions sov’reign ruler thou;
  At thy command joy rushes on the heart,
  And through the glowing veins the spirits dart.
    Fancy might now her silken pinions try
  To rise from earth, and sweep th’ expanse on high:
  From Tithon’s bed now might Aurora rise,
  Her cheeks all glowing with celestial dies,
  While a pure stream of light o’erflows the skies.
  The monarch of the day I might behold,
  And all the mountains tipt with radiant gold,
  But I reluctant leave the pleasing views,
  Which Fancy dresses to delight the Muse;
  Winter austere forbids me to aspire,
  And northern tempests damp the rising fire;
  They chill the tides of Fancy’s flowing sea,
  Cease then, my song, cease the unequal lay.",https://www.gutenberg.org/cache/epub/409/pg409-images.html#link2H_4_0022
Paul Laurence Dunbar,“Life”,"A crust of bread and a corner to sleep in,
A minute to smile and an hour to weep in,
A pint of joy to a peck of trouble,
And never a laugh but the moans come double;
And that is life!
A crust and a corner that love makes precious,
With a smile to warm and the tears to refresh us;
And joy seems sweeter when cares come after,
And a moan is the finest of foils for laughter;
And that is life!",https://www.gutenberg.org/cache/epub/18338/pg18338-images.html#Page_191
Paul Laurence Dunbar,“Invitation to Love”,"Come when the nights are bright with stars
Or when the moon is mellow;
Come when the sun his golden bars
Drops on the hay-field yellow.
Come in the twilight soft and gray,
Come in the night or come in the day,
Come, O love, whene'er you may,
And you are welcome, welcome.
You are sweet, O Love, dear Love,
You are soft as the nesting dove.
Come to my heart and bring it rest
As the bird flies home to its welcome nest.
Come when my heart is full of grief
Or when my heart is merry;
Come with the falling of the leaf
Or with the redd'ning cherry.
Come when the year's first blossom blows,
Come when the summer gleams and glows,
Come with the winter's drifting snows,
And you are welcome, welcome.",https://www.gutenberg.org/cache/epub/18338/pg18338-images.html#Page_191
Paul Laurence Dunbar,“We Wear the Mask”,"We wear the mask that grins and lies,
It hides our cheeks and shades our eyes,—
This debt we pay to human guile;
With torn and bleeding hearts we smile,
And mouth with myriad subtleties.
Why should the world be over-wise,
In counting all our tears and sighs?
Nay, let them only see us, while
We wear the mask.
We smile, but, O great Christ, our cries
To thee from tortured souls arise.
We sing, but oh the clay is vile
Beneath our feet, and long the mile;
But let the world dream otherwise,
We wear the mask!",https://www.gutenberg.org/cache/epub/18338/pg18338-images.html#Page_191
Paul Laurence Dunbar,“Sympathy”,"I know what the caged bird feels, alas!
When the sun is bright on the upland slopes;
When the wind stirs soft through the springing grass,
And the river flows like a stream of glass;
When the first bird sings and the first bud opes,
And the faint perfume from its chalice steals—
I know what the caged bird feels!
I know why the caged bird beats his wing
Till its blood is red on the cruel bars;
For he must fly back to his perch and cling
When he fain would be on the bough a-swing;
And a pain still throbs in the old, old scars
And they pulse again with a keener sting—
I know why he beats his wing!
I know why the caged bird sings, ah me,
When his wing is bruised and his bosom sore,—
When he beats his bars and he would be free;
It is not a carol of joy or glee,
But a prayer that he sends from his heart's deep core,
But a plea, that upward to Heaven he flings—
I know why the caged bird sings!",https://www.gutenberg.org/cache/epub/18338/pg18338-images.html#Page_191
Paul Laurence Dunbar,“The Poet”,"He sang of life, serenely sweet,
With, now and then, a deeper note.
From some high peak, nigh yet remote,
He voiced the world's absorbing beat.
He sang of love when earth was young,
And Love, itself, was in his lays.
But ah, the world, it turned to praise
A jingle in a broken tongue.",https://www.gutenberg.org/cache/epub/18338/pg18338-images.html#Page_191
